prompt_head,prompt_length,model,hits,createdAt,lastUsedAt
"explain the main mechanism behind monsoon formation over india, and how it relates to the great emu war?",104,local-small,0,2026-08-24 18:01:47.665,2026-08-24 18:01:47.665
"summarise the current understanding of insurance underwriting cycles, and how it relates to lactose tolerance in adult h",126,local-small,0,2026-08-24 18:01:47.879,2026-08-24 18:01:47.879
"compare two competing explanations for nitrogen fixation by legumes, and how it relates to photosynthesis in desert plan",123,local-small,0,2026-08-24 18:01:48.147,2026-08-24 18:01:48.147
"what commonly goes wrong with the history of the shipping container, and how it relates to tidal locking of moons?",114,local-small,0,2026-08-24 18:01:48.218,2026-08-24 18:01:48.218
"summarise the current understanding of coral bleaching thresholds, and how it relates to the printing press and literacy",121,local-small,0,2026-08-24 18:01:48.268,2026-08-24 18:01:48.268
"describe an experiment that would test glacial moraine formation, and how it relates to the migration of arctic terns?",118,local-small,0,2026-08-24 18:01:48.544,2026-08-24 18:01:48.544
"what does the evidence say about sleep cycles in marine mammals, and how it relates to the collapse of the bronze age?",118,local-small,0,2026-08-24 18:01:48.658,2026-08-24 18:01:48.658
"outline the economics of coffee leaf rust epidemics, and how it relates to the acoustics of concert halls?",106,local-small,0,2026-08-24 18:01:49.069,2026-08-24 18:01:49.069
"what would change if we could measure cryptographic hash collisions, and how it relates to sleep cycles in marine mammal",122,local-small,0,2026-08-24 18:01:49.13,2026-08-24 18:01:49.13
"what are the practical consequences of baroque counterpoint, and how it relates to the migration of arctic terns?",113,local-small,0,2026-08-24 18:01:49.738,2026-08-24 18:01:49.738
"outline the economics of the evolution of flightless birds, and how it relates to the printing press and literacy?",114,local-small,0,2026-08-24 18:01:49.982,2026-08-24 18:01:49.982
"explain the main mechanism behind enzyme kinetics at low temperature, and how it relates to the manufacture of window gl",124,local-small,0,2026-08-24 18:01:50.315,2026-08-24 18:01:50.315
"what would change if we could measure the design of suspension bridges, and how it relates to the evolution of flightles",128,local-small,0,2026-08-24 18:01:50.577,2026-08-24 18:01:50.577
"what are the practical consequences of peat bog preservation of bodies, and how it relates to the manufacture of window ",126,local-small,0,2026-08-24 18:01:50.758,2026-08-24 18:01:50.758
"what does the evidence say about insurance underwriting cycles, and how it relates to the physics of curveballs?",112,local-small,0,2026-08-24 18:01:50.836,2026-08-24 18:01:50.836
"what are the practical consequences of baroque counterpoint, and how it relates to the economics of rent control?",113,local-small,0,2026-08-24 18:01:50.958,2026-08-24 18:01:50.958
"compare two competing explanations for tidal locking of moons, and how it relates to zoning laws and housing supply?",116,local-small,0,2026-08-24 18:01:51.479,2026-08-24 18:01:51.479
"what would change if we could measure the economics of rent control, and how it relates to volcanic soil fertility?",115,local-small,0,2026-08-24 18:01:51.607,2026-08-24 18:01:51.607
"outline the economics of peat bog preservation of bodies, and how it relates to photosynthesis in desert plants?",112,local-small,0,2026-08-24 18:01:51.839,2026-08-24 18:01:51.839
"what are the practical consequences of sleep cycles in marine mammals, and how it relates to the manufacture of window g",125,local-small,0,2026-08-24 18:01:52.213,2026-08-24 18:01:52.213
"outline the economics of coral bleaching thresholds, and how it relates to the migration of arctic terns?",105,local-small,0,2026-08-24 18:01:52.338,2026-08-24 18:01:52.338
"explain the main mechanism behind birdsong dialects by region, and how it relates to medieval guild apprenticeships?",116,local-small,0,2026-08-24 18:01:52.46,2026-08-24 18:01:52.46
"what commonly goes wrong with antibiotic resistance in hospitals, and how it relates to inventory turnover in retail?",117,local-small,0,2026-08-24 18:01:52.533,2026-08-24 18:01:52.533
"what commonly goes wrong with the migration of arctic terns, and how it relates to zoning laws and housing supply?",114,local-small,0,2026-08-24 18:01:52.795,2026-08-24 18:01:52.795
"outline the economics of birdsong dialects by region, and how it relates to radio propagation in the ionosphere?",112,local-small,0,2026-08-24 18:01:53.013,2026-08-24 18:01:53.013
"outline the economics of photosynthesis in desert plants, and how it relates to the history of the shipping container?",118,local-small,0,2026-08-24 18:01:53.062,2026-08-24 18:01:53.062
"what would change if we could measure inventory turnover in retail, and how it relates to pension fund duration matching",121,local-small,0,2026-08-24 18:01:53.61,2026-08-24 18:01:53.61
"what does the evidence say about lithium extraction from brine, and how it relates to the manufacture of window glass?",118,local-small,0,2026-08-24 18:01:53.724,2026-08-24 18:01:53.724
"what commonly goes wrong with the chemistry of fireworks, and how it relates to the manufacture of window glass?",112,local-small,0,2026-08-24 18:01:53.937,2026-08-24 18:01:53.937
"outline the economics of container ship routing in ice, and how it relates to glacial moraine formation?",104,local-small,0,2026-08-24 18:01:53.995,2026-08-24 18:01:53.995
"compare two competing explanations for the great emu war, and how it relates to the migration of arctic terns?",110,local-small,0,2026-08-24 18:01:54.287,2026-08-24 18:01:54.287
"compare two competing explanations for photosynthesis in desert plants, and how it relates to the acoustics of concert h",125,local-small,0,2026-08-24 18:01:54.305,2026-08-24 18:01:54.305
"describe an experiment that would test sleep cycles in marine mammals, and how it relates to the migration of arctic ter",123,local-small,0,2026-08-24 18:01:54.499,2026-08-24 18:01:54.499
"what does the evidence say about byzantine mosaic techniques, and how it relates to the chemistry of fireworks?",111,local-small,0,2026-08-24 18:01:54.594,2026-08-24 18:01:54.594
"describe an experiment that would test radio propagation in the ionosphere, and how it relates to the great emu war?",116,local-small,0,2026-08-24 18:01:54.679,2026-08-24 18:01:54.679
"what are the practical consequences of how sourdough starters ferment, and how it relates to the abolition of the slave ",126,local-small,0,2026-08-24 18:01:54.881,2026-08-24 18:01:54.881
"explain the main mechanism behind circadian rhythms in plants, and how it relates to the manufacture of window glass?",117,local-small,0,2026-08-24 18:01:54.952,2026-08-24 18:01:54.952
"outline the economics of the migration of arctic terns, and how it relates to the physics of curveballs?",104,local-small,0,2026-08-24 18:01:55.414,2026-08-24 18:01:55.414
"describe an experiment that would test container ship routing in ice, and how it relates to radio propagation in the ion",128,local-small,0,2026-08-24 18:01:55.467,2026-08-24 18:01:55.467
"compare two competing explanations for antibiotic resistance in hospitals, and how it relates to tidal locking of moons?",120,local-small,0,2026-08-24 18:01:55.589,2026-08-24 18:01:55.589
"describe the historical development of radio propagation in the ionosphere, and how it relates to the economics of rent ",128,local-small,0,2026-08-24 18:01:56.061,2026-08-24 18:01:56.061
"explain the main mechanism behind sleep cycles in marine mammals, and how it relates to the evolution of flightless bird",122,local-small,0,2026-08-24 18:01:56.123,2026-08-24 18:01:56.123
"describe an experiment that would test circadian rhythms in plants, and how it relates to radio propagation in the ionos",126,local-small,0,2026-08-24 18:01:56.533,2026-08-24 18:01:56.533
"summarise the current understanding of enzyme kinetics at low temperature, and how it relates to sleep cycles in marine ",128,local-small,0,2026-08-24 18:01:56.601,2026-08-24 18:01:56.601
"describe an experiment that would test circadian rhythms in plants, and how it relates to the design of suspension bridg",123,local-small,0,2026-08-24 18:01:56.633,2026-08-24 18:01:56.633
"what commonly goes wrong with container ship routing in ice, and how it relates to the chemistry of fireworks?",110,local-small,0,2026-08-24 18:01:56.682,2026-08-24 18:01:56.682
"describe the historical development of lithium extraction from brine, and how it relates to the rules of shogi?",111,local-small,0,2026-08-24 18:01:56.804,2026-08-24 18:01:56.804
"what are the practical consequences of lithium extraction from brine, and how it relates to the design of suspension bri",125,local-small,0,2026-08-24 18:01:56.995,2026-08-24 18:01:56.995
"describe the historical development of photosynthesis in desert plants, and how it relates to the great emu war?",112,local-small,0,2026-08-24 18:01:57.189,2026-08-24 18:01:57.189
"outline the economics of circadian rhythms in plants, and how it relates to tidal locking of moons?",99,local-small,0,2026-08-24 18:01:57.255,2026-08-24 18:01:57.255
"what commonly goes wrong with antibiotic resistance in hospitals, and how it relates to nitrogen fixation by legumes?",117,local-small,0,2026-08-24 18:01:57.471,2026-08-24 18:01:57.471
"what does the evidence say about the printing press and literacy, and how it relates to urban heat island effects?",114,local-small,0,2026-08-24 18:01:57.657,2026-08-24 18:01:57.657
"describe an experiment that would test mycorrhizal networks in forests, and how it relates to the collapse of the bronze",125,local-small,0,2026-08-24 18:01:57.727,2026-08-24 18:01:57.727
"explain the main mechanism behind antibiotic resistance in hospitals, and how it relates to the collapse of the bronze a",123,local-small,0,2026-08-24 18:01:57.868,2026-08-24 18:01:57.868
"summarise the current understanding of photosynthesis in desert plants, and how it relates to zoning laws and housing su",125,local-small,0,2026-08-24 18:01:58.317,2026-08-24 18:01:58.317
"describe an experiment that would test birdsong dialects by region, and how it relates to monsoon formation over india?",119,local-small,0,2026-08-24 18:01:58.389,2026-08-24 18:01:58.389
"describe an experiment that would test the chemistry of fireworks, and how it relates to the design of suspension bridge",122,local-small,0,2026-08-24 18:01:58.611,2026-08-24 18:01:58.611
"compare two competing explanations for cryptographic hash collisions, and how it relates to volcanic soil fertility?",116,local-small,0,2026-08-24 18:01:58.66,2026-08-24 18:01:58.66
"explain the main mechanism behind medieval guild apprenticeships, and how it relates to mycorrhizal networks in forests?",120,local-small,0,2026-08-24 18:01:58.727,2026-08-24 18:01:58.727
"explain the main mechanism behind medieval guild apprenticeships, and how it relates to the invention of double entry bo",130,local-small,0,2026-08-24 18:01:59.191,2026-08-24 18:01:59.191
"what does the evidence say about the great emu war, and how it relates to the invention of double entry bookkeeping?",116,local-small,0,2026-08-24 18:01:59.574,2026-08-24 18:01:59.574
"outline the economics of coral bleaching thresholds, and how it relates to desalination by reverse osmosis?",107,local-small,0,2026-08-24 18:01:59.744,2026-08-24 18:01:59.744
"summarise the current understanding of inventory turnover in retail, and how it relates to the chemistry of fireworks?",118,local-small,0,2026-08-24 18:01:59.923,2026-08-24 18:01:59.923
"explain the main mechanism behind nitrogen fixation by legumes, and how it relates to the physics of curveballs?",112,local-small,0,2026-08-24 18:01:59.951,2026-08-24 18:01:59.951
"what commonly goes wrong with inventory turnover in retail, and how it relates to the evolution of flightless birds?",116,local-small,0,2026-08-24 18:02:00.387,2026-08-24 18:02:00.387
"compare two competing explanations for birdsong dialects by region, and how it relates to the acoustics of concert halls",121,local-small,0,2026-08-24 18:02:00.416,2026-08-24 18:02:00.416
"what would change if we could measure silk production in ancient china, and how it relates to the history of the shippin",132,local-small,0,2026-08-24 18:02:00.805,2026-08-24 18:02:00.805
"what commonly goes wrong with container ship routing in ice, and how it relates to the standardisation of railway gauges",121,local-small,0,2026-08-24 18:02:00.872,2026-08-24 18:02:00.872
"what does the evidence say about cryptographic hash collisions, and how it relates to monsoon formation over india?",115,local-small,0,2026-08-24 18:02:00.932,2026-08-24 18:02:00.932
"explain the main mechanism behind circadian rhythms in plants, and how it relates to the chemistry of fireworks?",112,local-small,0,2026-08-24 18:02:01.189,2026-08-24 18:02:01.189
"summarise the current understanding of byzantine mosaic techniques, and how it relates to the evolution of flightless bi",124,local-small,0,2026-08-24 18:02:01.215,2026-08-24 18:02:01.215
"outline the economics of monsoon formation over india, and how it relates to submarine cable repair?",100,local-small,0,2026-08-24 18:02:01.378,2026-08-24 18:02:01.378
"compare two competing explanations for silk production in ancient china, and how it relates to the abolition of the slav",128,local-small,0,2026-08-24 18:02:02.141,2026-08-24 18:02:02.141
"describe the historical development of error correcting codes in storage, and how it relates to sleep cycles in marine m",127,local-small,0,2026-08-24 18:02:02.274,2026-08-24 18:02:02.274
"summarise the current understanding of baroque counterpoint, and how it relates to nitrogen fixation by legumes?",112,local-small,0,2026-08-24 18:02:02.45,2026-08-24 18:02:02.45
"describe the historical development of nitrogen fixation by legumes, and how it relates to urban heat island effects?",117,local-small,0,2026-08-24 18:02:02.519,2026-08-24 18:02:02.519
"what would change if we could measure the manufacture of window glass, and how it relates to the standardisation of rail",131,local-small,0,2026-08-24 18:02:02.803,2026-08-24 18:02:02.803
"explain the main mechanism behind lithium extraction from brine, and how it relates to photosynthesis in desert plants?",119,local-small,0,2026-08-24 18:02:02.88,2026-08-24 18:02:02.88
"what does the evidence say about the standardisation of railway gauges, and how it relates to zoning laws and housing su",125,local-small,0,2026-08-24 18:02:02.902,2026-08-24 18:02:02.902
"what does the evidence say about monsoon formation over india, and how it relates to the collapse of the bronze age?",116,local-small,0,2026-08-24 18:02:02.952,2026-08-24 18:02:02.952
"describe the historical development of inventory turnover in retail, and how it relates to zoning laws and housing suppl",122,local-small,0,2026-08-24 18:02:02.995,2026-08-24 18:02:02.995
"outline the economics of the domestication of horses, and how it relates to the evolution of flightless birds?",110,local-small,0,2026-08-24 18:02:03.077,2026-08-24 18:02:03.077
"describe the historical development of lithium extraction from brine, and how it relates to radio propagation in the ion",128,local-small,0,2026-08-24 18:02:03.254,2026-08-24 18:02:03.254
"describe the historical development of insurance underwriting cycles, and how it relates to photosynthesis in desert pla",124,local-small,0,2026-08-24 18:02:03.454,2026-08-24 18:02:03.454
"describe an experiment that would test mycorrhizal networks in forests, and how it relates to tidal locking of moons?",117,local-small,0,2026-08-24 18:02:03.891,2026-08-24 18:02:03.891
"summarise the current understanding of baroque counterpoint, and how it relates to how sourdough starters ferment?",114,local-small,0,2026-08-24 18:02:03.983,2026-08-24 18:02:03.983
"what commonly goes wrong with byzantine mosaic techniques, and how it relates to lithium extraction from brine?",111,local-small,0,2026-08-24 18:02:04.108,2026-08-24 18:02:04.108
"explain the main mechanism behind the economics of rent control, and how it relates to tidal locking of moons?",110,local-small,0,2026-08-24 18:02:04.209,2026-08-24 18:02:04.209
"summarise the current understanding of cryptographic hash collisions, and how it relates to radio propagation in the ion",128,local-small,0,2026-08-24 18:02:04.318,2026-08-24 18:02:04.318
"what are the practical consequences of circadian rhythms in plants, and how it relates to the economics of rent control?",120,local-small,0,2026-08-24 18:02:04.405,2026-08-24 18:02:04.405
"summarise the current understanding of the physics of curveballs, and how it relates to the printing press and literacy?",120,local-small,0,2026-08-24 18:02:04.689,2026-08-24 18:02:04.689
"describe an experiment that would test the domestication of horses, and how it relates to the economics of rent control?",120,local-small,0,2026-08-24 18:02:04.727,2026-08-24 18:02:04.727
"outline the economics of inventory turnover in retail, and how it relates to medieval guild apprenticeships?",108,local-small,0,2026-08-24 18:02:05.084,2026-08-24 18:02:05.084
"what commonly goes wrong with desalination by reverse osmosis, and how it relates to inventory turnover in retail?",114,local-small,0,2026-08-24 18:02:05.151,2026-08-24 18:02:05.151
"what commonly goes wrong with medieval guild apprenticeships, and how it relates to the collapse of the bronze age?",115,local-small,0,2026-08-24 18:02:05.212,2026-08-24 18:02:05.212
"describe the historical development of the collapse of the bronze age, and how it relates to zoning laws and housing sup",124,local-small,0,2026-08-24 18:02:05.338,2026-08-24 18:02:05.338
"summarise the current understanding of the evolution of flightless birds, and how it relates to the rules of shogi?",115,local-small,0,2026-08-24 18:02:05.663,2026-08-24 18:02:05.663
"describe an experiment that would test how sourdough starters ferment, and how it relates to the physics of curveballs?",119,local-small,0,2026-08-24 18:02:05.787,2026-08-24 18:02:05.787
"summarise the current understanding of lithium extraction from brine, and how it relates to the abolition of the slave t",125,local-small,0,2026-08-24 18:02:06.005,2026-08-24 18:02:06.005
"describe an experiment that would test nitrogen fixation by legumes, and how it relates to the history of the shipping c",129,local-small,0,2026-08-24 18:02:06.119,2026-08-24 18:02:06.119
"summarise the current understanding of enzyme kinetics at low temperature, and how it relates to submarine cable repair?",120,local-small,0,2026-08-24 18:02:06.603,2026-08-24 18:02:06.603
"compare two competing explanations for the physics of curveballs, and how it relates to urban heat island effects?",114,local-small,0,2026-08-24 18:02:06.855,2026-08-24 18:02:06.855
"what commonly goes wrong with glacial moraine formation, and how it relates to lithium extraction from brine?",109,local-small,0,2026-08-24 18:02:07.072,2026-08-24 18:02:07.072
"what would change if we could measure antibiotic resistance in hospitals, and how it relates to circadian rhythms in pla",124,local-small,0,2026-08-24 18:02:07.13,2026-08-24 18:02:07.13
"describe the historical development of coral bleaching thresholds, and how it relates to peat bog preservation of bodies",121,local-small,0,2026-08-24 18:02:07.211,2026-08-24 18:02:07.211
"describe an experiment that would test desalination by reverse osmosis, and how it relates to medieval guild apprentices",125,local-small,0,2026-08-24 18:02:07.276,2026-08-24 18:02:07.276
"compare two competing explanations for error correcting codes in storage, and how it relates to nitrogen fixation by leg",125,local-small,0,2026-08-24 18:02:07.415,2026-08-24 18:02:07.415
"what does the evidence say about circadian rhythms in plants, and how it relates to the rules of shogi?",103,local-small,0,2026-08-24 18:02:07.593,2026-08-24 18:02:07.593
"outline the economics of coral bleaching thresholds, and how it relates to zoning laws and housing supply?",106,local-small,0,2026-08-24 18:02:07.688,2026-08-24 18:02:07.688
"what commonly goes wrong with circadian rhythms in plants, and how it relates to zoning laws and housing supply?",112,local-small,0,2026-08-24 18:02:08.109,2026-08-24 18:02:08.109
"describe the historical development of inventory turnover in retail, and how it relates to tidal locking of moons?",114,local-small,0,2026-08-24 18:02:08.186,2026-08-24 18:02:08.186
"outline the economics of medieval guild apprenticeships, and how it relates to tidal locking of moons?",102,local-small,0,2026-08-24 18:02:08.585,2026-08-24 18:02:08.585
"what commonly goes wrong with inventory turnover in retail, and how it relates to photosynthesis in desert plants?",114,local-small,0,2026-08-24 18:02:08.608,2026-08-24 18:02:08.608
"explain the main mechanism behind radio propagation in the ionosphere, and how it relates to the domestication of horses",121,local-small,0,2026-08-24 18:02:08.654,2026-08-24 18:02:08.654
"summarise the current understanding of the abolition of the slave trade, and how it relates to the rules of shogi?",114,local-small,0,2026-08-24 18:02:09.113,2026-08-24 18:02:09.113
"outline the economics of cryptographic hash collisions, and how it relates to the printing press and literacy?",110,local-small,0,2026-08-24 18:02:09.14,2026-08-24 18:02:09.14
